location_uid,location_title,oblast_uid,oblast_name,enabled
38,Володимирський район,8,Волинська область,true
41,Камінь-Каширський район,8,Волинська область,true
40,Ковельський район,8,Волинська область,true
39,Луцький район,8,Волинська область,true
36,Вінницький район,4,Вінницька область,true
37,Гайсинський район,4,Вінницька область,true
35,Жмеринський район,4,Вінницька область,true
33,Могилів-Подільський район,4,Вінницька область,true
32,Тульчинський район,4,Вінницька область,true
34,Хмільницький район,4,Вінницька область,true
44,Дніпровський район,9,Дніпропетровська область,true
42,Кам'янський район,9,Дніпропетровська область,true
46,Криворізький район,9,Дніпропетровська область,true
47,Нікопольський район,9,Дніпропетровська область,true
45,Павлоградський район,9,Дніпропетровська область,true
43,Самарівський район,9,Дніпропетровська область,true
48,Синельниківський район,9,Дніпропетровська область,true
54,Бахмутський район,28,Донецька область,true
55,Волноваський район,28,Донецька область,true
51,Горлівський район,28,Донецька область,true
53,Донецький район,28,Донецька область,true
49,Кальміуський район,28,Донецька область,true
50,Краматорський район,28,Донецька область,true
52,Маріупольський район,28,Донецька область,true
56,Покровський район,28,Донецька область,true
57,Бердичівський район,10,Житомирська область,true
59,Житомирський район,10,Житомирська область,true
60,Звягельський район,10,Житомирська область,true
58,Коростенський район,10,Житомирська область,true
61,Берегівський район,11,Закарпатська область,true
65,Мукачівський район,11,Закарпатська область,true
63,Рахівський район,11,Закарпатська область,true
64,Тячівський район,11,Закарпатська область,true
66,Ужгородський район,11,Закарпатська область,true
62,Хустський район,11,Закарпатська область,true
147,Бердянський район,12,Запорізька область,true
146,Василівський район,12,Запорізька область,true
149,Запорізький район,12,Запорізька область,true
148,Мелітопольський район,12,Запорізька область,true
145,Пологівський район,12,Запорізька область,true
78,Бориспільський район,14,Київська область,true
79,Броварський район,14,Київська область,true
75,Бучанський район,14,Київська область,true
73,Білоцерківський район,14,Київська область,true
74,Вишгородський район,14,Київська область,true
76,Обухівський район,14,Київська область,true
77,Фастівський район,14,Київська область,true
82,Голованівський район,15,Кіровоградська область,true
81,Кропивницький район,15,Кіровоградська область,true
83,Новоукраїнський район,15,Кіровоградська область,true
80,Олександрійський район,15,Кіровоградська область,true
1803,Алчевський район,16,Луганська область,true
1804,Довжанський район,16,Луганська область,true
1801,Луганський район,16,Луганська область,true
1802,Ровеньківський район,16,Луганська область,true
85,Сватівський район,16,Луганська область,true
86,Старобільський район,16,Луганська область,true
84,Сіверськодонецький район,16,Луганська область,true
87,Щастинський район,16,Луганська область,true
91,Дрогобицький район,27,Львівська область,true
94,Золочівський район,27,Львівська область,true
90,Львівський район,27,Львівська область,true
88,Самбірський район,27,Львівська область,true
89,Стрийський район,27,Львівська область,true
92,Шептицький район,27,Львівська область,true
93,Яворівський район,27,Львівська область,true
96,Баштанський район,17,Миколаївська область,true
95,Вознесенський район,17,Миколаївська область,true
98,Миколаївський район,17,Миколаївська область,true
97,Первомайський район,17,Миколаївська область,true
100,Березівський район,18,Одеська область,true
105,Болградський район,18,Одеська область,true
102,Білгород-Дністровський район,18,Одеська область,true
104,Одеський район,18,Одеська область,true
99,Подільський район,18,Одеська область,true
103,Роздільнянський район,18,Одеська область,true
101,Ізмаїльський район,18,Одеська область,true
107,Кременчуцький район,19,Полтавська область,true
106,Лубенський район,19,Полтавська область,true
108,Миргородський район,19,Полтавська область,true
109,Полтавський район,19,Полтавська область,true
110,Вараський район,5,Рівненська область,true
111,Дубенський район,5,Рівненська область,true
112,Рівненський район,5,Рівненська область,true
113,Сарненський район,5,Рівненська область,true
117,Конотопський район,20,Сумська область,true
118,Охтирський район,20,Сумська область,true
116,Роменський район,20,Сумська область,true
114,Сумський район,20,Сумська область,true
115,Шосткинський район,20,Сумська область,true
120,Кременецький район,21,Тернопільська область,true
119,Тернопільський район,21,Тернопільська область,true
121,Чортківський район,21,Тернопільська область,true
127,Берестинський район,22,Харківська область,true
126,Богодухівський район,22,Харківська область,true
123,Куп'янський район,22,Харківська область,true
128,Лозівський район,22,Харківська область,true
124,Харківський район,22,Харківська область,true
122,Чугуївський район,22,Харківська область,true
125,Ізюмський район,22,Харківська область,true
129,Бериславський район,23,Херсонська область,true
133,Генічеський район,23,Херсонська область,true
131,Каховський район,23,Херсонська область,true
130,Скадовський район,23,Херсонська область,true
132,Херсонський район,23,Херсонська область,true
135,Кам'янець-Подільський район,3,Хмельницька область,true
134,Хмельницький район,3,Хмельницька область,true
136,Шепетівський район,3,Хмельницька область,true
150,Звенигородський район,24,Черкаська область,true
153,Золотоніський район,24,Черкаська область,true
151,Уманський район,24,Черкаська область,true
152,Черкаський район,24,Черкаська область,true
138,Вижницький район,26,Чернівецька область,true
139,Дністровський район,26,Чернівецька область,true
137,Чернівецький район,26,Чернівецька область,true
144,Корюківський район,25,Чернігівська область,true
141,Новгород-Сіверський район,25,Чернігівська область,true
142,Ніжинський район,25,Чернігівська область,true
143,Прилуцький район,25,Чернігівська область,true
140,Чернігівський район,25,Чернігівська область,true
67,Верховинський район,13,Івано-Франківська область,true
71,Калуський район,13,Івано-Франківська область,true
70,Коломийський район,13,Івано-Франківська область,true
69,Косівський район,13,Івано-Франківська область,true
72,Надвірнянський район,13,Івано-Франківська область,true
68,Івано-Франківський район,13,Івано-Франківська область,true
